Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 469 , size[23][2] = 287 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 472 , size[23][2] = 288 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 475 , size[23][2] = 289 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 478 , size[23][2] = 290 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 481 , size[23][2] = 291 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 484 , size[23][2] = 292 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 487 , size[23][2] = 293 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 490 , size[23][2] = 294 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 493 , size[23][2] = 295 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 496 , size[23][2] = 296 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 499 , size[23][2] = 297 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 502 , size[23][2] = 298 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 505 , size[23][2] = 299 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 508 , size[23][2] = 300 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 511 , size[23][2] = 301 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 514 , size[23][2] = 302 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 517 , size[23][2] = 303 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 520 , size[23][2] = 304 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 523 , size[23][2] = 305 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 526 , size[23][2] = 306 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 529 , size[23][2] = 307 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 532 , size[23][2] = 308 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 535 , size[23][2] = 309 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 538 , size[23][2] = 310 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 541 , size[23][2] = 311 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 544 , size[23][2] = 312 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 547 , size[23][2] = 313 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 550 , size[23][2] = 314 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 553 , size[23][2] = 315 
